172.16.52.75 SWAC-02-RS-PAS-SPA-AS138 no_result no_result no_result
172.16.52.76 SWAC-04-RS-PAS-SPA no_result no_result no_result
172.16.52.76 SWAC-04-RS-PAS-SPA no_result no_result no_result
172.16.58.70 SWAC-05-RS-PAE-HMT no_result no_result no_result
172.16.58.91 SWAC-03-RS-PAE-HMT 177 171 0%
172.16.61.74 RTSA-03-RS-PAE-CGO 151 133 0%
172.16.62.59 RTSA-01-GTI-GVI 32 27 0%
172.16.68.186 airsw-723.stech.net.br no_result no_result no_result
172.16.68.186 airsw-723.stech.net.br no_result no_result no_result
172.16.69.106 SWAC-04-RS-KDK-CCA-ID1775 no_result no_result no_result
172.16.69.114 SWAC-02-RS-KDK-CCA-AIRSW-578 9 5 0%
172.16.69.122 RTSA-01-RS-KDK-CCA-AIRSW-685 7 7 0%
172.16.69.91 SWAC-01-RS-KDK-CCA 17 14 0%
172.16.78.162 RTSA-01-RS-CCR-CC1 25 23 0%
172.16.8.138 RTSA-01-RS-PAE-POL 31 26 0%
172.16.81.139 RTSA-01-RS.SCR.GAN 33 33 0%
172.16.81.154 RTSA-01-SCR-SCL 26 21 0%
172.16.83.58 RTSA-01-RS-CEN-CA2 22 22 0%
172.16.85.58 SWAC-03-RS-ESU-ELD no_result no_result no_result
172.16.85.58 SWAC-03-RS-ESU-ELD no_result no_result no_result
172.16.88.50 SWAC-02-RS-NHO-NH1 no_result no_result no_result
172.16.88.50 SWAC-02-RS-NHO-NH1 no_result no_result no_result
172.16.88.51 SWAC-03-RS-NHO-NH1 no_result no_result no_result
172.16.88.51 SWAC-03-RS-NHO-NH1 no_result no_result no_result
172.16.9.222 SWAC-ISP-01-RS-PAE-JOA 100 91 0%
172.16.9.252 RTSA-02-RS-PAE-CGO 129 116 0%
172.16.90.146 SWAC-04-RS-PAS-PA2 no_result no_result no_result
172.16.92.58 RTSA-01-RS-VAA-VCA 20 17 0%
172.16.96.66 SWAC-02-RS-PLT-CID1850 no_result no_result no_result
172.16.96.66 SWAC-02-RS-PLT-CID1850 no_result no_result no_result
172.17.11.58 RTSA-01-RS-TEP-TEP 9 7 0%
172.17.12.58 RTSA-01-RS-DPO-DPO 8 8 0%
172.17.14.58 swac-01-rs-rrs-rsl 3 3 0%
172.17.14.60 RTSA-01-RS.RRS.RSL 3 3 0%
172.17.16.58 RTSA-01-RS-SIA-SI2 13 9 0%
172.17.17.82 SWAC-05-RS-CSL-UVA no_result no_result no_result
172.17.17.82 SWAC-05-RS-CSL-UVA no_result no_result no_result
172.17.18.58 SWAC-01-RS-SJA-SBSA 12 11 0%
172.17.18.90 RTSA-01-RS-SJA-SBSA 5 5 0%
172.17.2.114 SWAC-02-RS-SMA-PEB no_result no_result no_result
172.17.2.114 SWAC-02-RS-SMA-PEB no_result no_result no_result
172.17.2.50 SWAC-04-RS-SMA-PEB no_result no_result no_result
172.17.2.50 SWAC-04-RS-SMA-PEB no_result no_result no_result
172.17.22.58 RTSA-01-RS-HZA-HZA 6 6 0%
172.17.23.58 RTSA-01-RS-TMI-TMI-AIRSW-538 5 4 0%
172.17.25.66 SWAC-01-RS-PAE-HMT 18 16 0%
172.17.29.146 SWAC-03-RS-DSR-DOI-AIRSW-690 2 2 0%
172.17.3.58 rtsa-01-rs-jcs-jcs 12 11 0%
172.17.30.50 SWAC-04-RS-PAE-PTS 14 10 0%
172.17.32.66 SWAC-04-RS-SLE-SLD no_result no_result no_result
172.17.32.66 SWAC-04-RS-SLE-SLD no_result no_result no_result
172.17.4.58 RTSA-02-RS-TES-TR1_AIRSW-432 15 9 0%
172.17.43.50 RTSA-01-RS-CQI-CQI 2 2 0%
172.17.43.51 SWAC-01-RS-CQI-CQI-airsw-707 1 1 0%
172.17.44.50 SWAC-02-RS-CAN-CSU-AIRSW-753 14 11 0%
172.17.45.210 RTPE-01-RS-PAE-JOA no_result no_result no_result
172.17.45.210 RTPE-01-RS-PAE-JOA no_result no_result no_result
172.17.5.50 RTSA01-RS.FWN.FDW-airsw-444 11 8 0%
172.17.9.58 RTSA-01-RS-GRD-GRD 6 5 0%
172.20.0.2 RTSA-02-SC-PAC-GAL_SW-422 21 20 0%
172.20.0.50 swac-02-sc-pac-gal 15 6 0%
172.20.1.98 SWAC-01-SC-CUA-CRI_SW-734 no_result no_result no_result
172.20.1.98 SWAC-01-SC-CUA-CRI_SW-734 no_result no_result no_result
172.20.11.10 SWAC-01-SC-BNU-BNU_SW-597 no_result no_result no_result
172.20.11.10 SWAC-01-SC-BNU-BNU_SW-597 no_result no_result no_result
172.20.16.10 SWAC-01-SC-SBS-SBS_SW-624 no_result no_result no_result
172.20.16.10 SWAC-01-SC-SBS-SBS_SW-624 no_result no_result no_result
172.20.4.10 SWAC-01-SC-FNS-FNS_SW-469 no_result no_result no_result
172.20.4.10 SWAC-01-SC-FNS-FNS_SW-469 no_result no_result no_result
172.20.5.10 SWAC-01-SC-JGS-JGS_SW-505 no_result no_result no_result
172.20.5.10 SWAC-01-SC-JGS-JGS_SW-505 no_result no_result no_result
172.20.8.10 SWAC-01-SC-IQI-ITA_SW-563 no_result no_result no_result
172.20.8.10 SWAC-01-SC-IQI-ITA_SW-563 no_result no_result no_result
172.22.0.138 SWAC-04-PR-CTA-VQM_SW-679 11 8 0%
172.22.0.162 RTSA-02-PR-CTA-LV3-POI_SW-683 no_result no_result no_result
172.22.0.162 RTSA-02-PR-CTA-LV3-POI_SW-683 no_result no_result no_result
172.22.0.2 RTSA-02-PR-CTA-VQM_AIRSW-457 42 26 0%
172.22.0.98 RTSA-01-PR-CTA-LV3-POI_SW-621 7 6 0%
172.24.106.3 RTSA-01-SP-RCO-ALM no_result no_result no_result
172.24.106.3 RTSA-01-SP-RCO-ALM no_result no_result no_result
172.24.121.180 SWAC-01-SP-BRE-ALP no_result no_result no_result
172.24.121.180 SWAC-01-SP-BRE-ALP no_result no_result no_result
172.24.138.157 RTPE-01-SP-SPO-BRF 21 21 0%
172.24.15.2 SPO.MMM.MMM.SW.EX.002 no_result no_result no_result
172.24.166.6 RTPE-01-SP-SPO-VRAO 27 22 0%
172.24.173.35 SWAC-01-SP-SPO-SMR no_result no_result no_result
172.24.173.35 SWAC-01-SP-SPO-SMR no_result no_result no_result
172.24.191.11 SWAC-02-SP-DDA-DDA no_result no_result no_result
172.24.23.94 RTSA-01-SP-DTC-TVT3-POI no_result no_result no_result
172.24.43.124 SWAC-04-SP-SCN-SCS no_result no_result no_result
172.24.70.11 RTSA-01-SP-SPO-VRO-VOZ_SW-709 4 4 0%
172.24.70.2 SP.SPO.VRAO.SW.EX.002 no_result no_result no_result
172.24.79.2 SP.SPO.BTU.SW.EX.072 no_result no_result no_result
172.28.1.2 RSTA-01-RJ-RJO-RB1-VOZ 2 2 0%
172.28.22.100 RTPE-01-RJ-RJO-SCR 12 10 0%
172.28.24.26 RTPE-01-RJ-RJO-TLP 8 8 0%
172.31.100.194 RJ.RJO.SCT.SW.EX.022 no_result no_result no_result
172.31.100.194 RJ.RJO.SCT.SW.EX.022 no_result no_result no_result
"172.31.100.34
" RTSA-01-MG-BHE-BPT-VOZ no_result no_result no_result
"172.31.100.34
" RTSA-01-MG-BHE-BPT-VOZ no_result no_result no_result
172.31.100.34 RTSA-01-MG-BHE-BPT-VOZ no_result no_result no_result
172.31.100.34 RTSA-01-MG-BHE-BPT-VOZ no_result no_result no_result
172.31.111.211 RTSA-02-SP-SPO-GCO no_result no_result no_result
172.31.111.59 SWAC-02-SP-DTC-LV3-POI no_result no_result no_result
172.31.111.59 SWAC-02-SP-DTC-LV3-POI no_result no_result no_result
172.31.96.34 SWAC-08-RS-CSL-UVA no_result no_result no_result
172.31.96.34 SWAC-08-RS-CSL-UVA no_result no_result no_result
172.31.96.36 SWAC-07-RS-CSL-CID3011-AIRSW-455 no_result no_result no_result
172.31.96.36 SWAC-07-RS-CSL-CID3011-AIRSW-455 no_result no_result no_result
