172.17.14.58 swac-01-rs-rrs-rsl 5 5 
172.17.14.60 RTSA-01-RS.RRS.RSL 0 0 
10.255.3.7 RTSA-01-SP-DTC-EQ1-POI 0 0 
172.16.119.146 SWAC-01-RS-SHN-SDM 1 1 
10.255.3.12 RTSA-01-SP-CPR-OSO 0 0 
172.17.43.50 RTSA-01-RS-CQI-CQI 0 0 
10.255.3.14 RTSA-01-SP-BTU-BTU 0 0 
10.255.3.18 RTSA-01-SP-JAI-IND 1 1 
172.16.253.98 RTSA-01-RS-SUV-SND 2 2 
172.16.248.90 SWAC-01-RS-CFD-CDI 0 0 
172.28.1.2 RSTA-01-RJ-RJO-RB1-VOZ 0 0 
10.255.146.0 BA.SDR.INT.SW.EX.146 0 0 
10.255.3.102 SWAC-01-SP-AAS-ARS 3 3 
172.16.1.52 RTPE-01-RS-PAE-HMT 0 0 
172.16.22.179 RTSA-01-RS-PKA-PCA 1 1 
172.17.29.146 SWAC-03-RS-DSR-DOI-AIRSW-690 0 0 
10.255.3.27 RTSA-01-SP-LEP-JAG 1 1 
10.255.6.1 CE.FLA.LV3.SW.EX.1 0 0 
172.16.29.250 SWAC-01-RS-RZO-INFO 0 0 
10.255.3.107 RTSA-01-SP-IAQ-ITQ 0 0 
10.255.3.52 SWAC-01-SP-IIA-AR-52 0 0 
10.255.3.71 SWAC-01-SP-ARQ-ARQ 0 0 
11.255.103.0 RJ.RJO.LZN.SW.EX.103.6 0 0 
172.16.143.195 SWAC-01-RS.CND.CLA-AIRSW-764 0 0 
172.16.157.122 SWAC-01-RS-PMM-PMI 1 1 
172.16.212.66 airsw-626.stech.net.br 0 0 
172.17.43.51 SWAC-01-RS-CQI-CQI-airsw-707 0 0 
10.255.3.13 RTSA-01-SP-CNH-CNH 0 0 
10.255.3.89 RTSA-01-SP-AAS-ARS 0 0 
172.31.100.34 RTSA-01-MG-BHE-BPT-VOZ 0 0 
10.255.3.75 RTSA-01-SP-DTC-ACT-POI 0 0 
10.255.4.31 RJ.RJO.GLB.SW.EX.001 0 0 
172.22.0.162 RTSA-02-PR-CTA-LV3-POI_SW-683 0 0 
172.16.52.76 SWAC-04-RS-PAS-SPA 0 0 
172.17.45.210 RTPE-01-RS-PAE-JOA 0 0 
10.150.247.251 BHE-PAM-01-RE-CR-X670-100 0 0 
10.150.247.252 SW-BHE-BPT-01-RE-CR-X670-100 0 0 
10.150.247.253 SW-STE-01-RE-CR-X670-100 0 0 
10.150.247.254 SW-SRA-01-RE-CR-X670-100 0 0 
172.16.0.226 Airsw-78 0 0 
172.16.103.107 SWAC-01-RS-PAS-SPA-AS274 1 1 
172.16.24.194 airsw-580.stech.net.br 0 0 
172.16.68.186 airsw-723.stech.net.br 1 1 
172.31.100.194 RJ.RJO.SCT.SW.EX.022 0 0 
172.16.165.50 RTSA-01-RS-GTI-GTI4 3 3 
172.16.45.234 RTSA-01-RS-PLT-PEL 3 3 
172.16.17.194 airsw-183.stech.net.br 0 0 
172.16.184.228 SWAC-01-RS-PAE-STC 0 0 
172.16.21.115 rtsa-01-rs-sfp-ivd 0 0 
172.24.106.3 RTSA-01-SP-RCO-ALM 0 0 
172.16.23.114 swac-01-rs-ros-rcs 0 0 
172.16.34.218 SWAC-01-RS-ESU-ELD 0 0 
172.16.37.99 SWAC-01-RS-NHO-NH1 1 1 
172.16.138.154 SWAC-01-RS-RGR-CID4606 0 0 
172.16.138.202 SWAC-01-RS-RGR-RG2 0 0 
172.16.208.58 SWAC-01-RS-SLG-ALG 0 0 
172.16.235.252 AIRSW-729-vetorial 0 0 
