IP HOST VPLS_CONFIGURADO VPLS_ATIVO VPLS_INATIVO
172.16.34.218 SWAC-01-RS-ESU-ELD 0 0 100%
172.16.152.66 SWAC-01-RS-IJU-ISU 42 31 26%
172.16.69.91 SWAC-01-RS-KDK-CCA 17 14 18%
172.16.37.99 SWAC-01-RS-NHO-NH1 43 0 100%
172.16.186.154 SWAC-01-RS-PAE-CGO 43 36 16%
172.16.4.178 SWAC-01-RS-PAE-FLR 26 21 19%
172.17.25.66 SWAC-01-RS-PAE-HMT 18 16 11%
172.16.187.82 SWAC-01-RS-PAE-IDC 50 44 12%
172.16.103.107 SWAC-01-RS-PAS-SPA-AS274 40 0 100%
172.16.235.178 SWAC-01-RS-PLT-PL2 7 0 100%
10.255.0.163 SWAC-01-RS-PMM-CID2221-airsw-732 4 2 50%
172.16.157.122 SWAC-01-RS-PMM-PMI 3 3 0%
172.16.184.178 SWAC-01-RS-POI-TEL-POI 185 169 9%
172.16.184.114 SWAC-01-RS-POI-TIM-POI-SW155 11 10 9%
172.16.138.154 SWAC-01-RS-RGR-CID4606 3 0 100%
172.16.138.202 SWAC-01-RS-RGR-RG2 1 0 100%
10.255.0.176 swac-01-rs-rrs-rsl 2 2 0%
172.17.14.58 swac-01-rs-rrs-rsl 2 2 0%
10.255.0.156 SWAC-01-RS-RZO-INFO 2 1 50%
172.16.119.146 SWAC-01-RS-SHN-SDM 3 2 33%
172.17.18.58 SWAC-01-RS-SJA-SBSA 11 10 9%
172.16.208.58 SWAC-01-RS-SLG-ALG 7 0 100%
172.16.234.51 SWAC-01-RS-SLL-SLO 0 0 100%
172.16.222.146 SWAC-01-RS-TRI-TDI 20 14 30%
172.16.225.146 SWAC-01-RS-VAO-VM2 4 3 25%
172.16.143.195 SWAC-01-RS.CND.CLA-AIRSW-764 2 2 0%
172.16.200.52 SWAC-01-RS.SMA.JMS-AIRSW-731 11 10 9%
172.20.11.10 SWAC-01-SC-BNU-BNU_SW-597 0 0 100%
172.20.1.98 SWAC-01-SC-CUA-CRI_SW-734 1 0 100%
172.20.4.10 SWAC-01-SC-FNS-FNS_SW-469 7 0 100%
172.20.8.10 SWAC-01-SC-IQI-ITA_SW-563 1 0 100%
172.20.5.10 SWAC-01-SC-JGS-JGS_SW-505 0 0 100%
172.20.0.50 SWAC-01-SC-PAC-GAL_SW-561 16 7 56%
172.20.16.10 SWAC-01-SC-SBS-SBS_SW-624 0 0 100%
10.255.3.102 SWAC-01-SP-AAS-ARS 1 1 0%
10.255.3.71 SWAC-01-SP-ARQ-ARQ 1 1 0%
10.255.3.36 SWAC-01-SP-BRE-ALP 136 134 1%
10.255.3.64 SWAC-01-SP-CPR-OSO 5 4 20%
10.255.3.91 SWAC-01-SP-DDA-DDA 18 15 17%
10.255.3.50 SWAC-01-SP-DTC-ACT-POI 14 11 21%
10.255.3.8 SWAC-01-SP-DTC-EQ1-POI 21 18 14%
10.255.3.52 SWAC-01-SP-IIA-AR-52 1 1 0%
10.255.3.25 SWAC-01-SP-JAI-JAI 6 5 17%
10.255.3.100 SWAC-01-SP-LRA-NML 7 6 14%
10.255.3.147 SWAC-01-SP-OCO-OCO 16 13 19%
10.255.3.77 SWAC-01-SP-POI-TIG-POI 5 2 60%
